case_id,condition_id,artifact_file,artifact_file_sha256,annotation_semantic_sha256,sparse_only,coordinate_level_QA,trainer_candidate,training_authorized
coronacases_001,C100_COH,data/cova3d_training_grid_candidates_v1_2/coronacases_001/C100_COH.npz,a68baf960e06d941b70a885b7503f581a142b3a19b267a881208fb69e77f1e6c,44e61e4f359b68e60bf5dc7678d83a8af82cfb74df8f4d9a48586ff96ca100c7,True,True,True,False
coronacases_001,C100_DIS,data/cova3d_training_grid_candidates_v1_2/coronacases_001/C100_DIS.npz,b4a88e3cf853f35b5416c4fbb690b3c3e01f021c0924305b3b11d0b11d189a32,f5563ccf95d6d52b7117746e59db7eac08b8785c259e9dd292f97ecff7a34808,True,True,True,False
coronacases_001,C100_FRG,data/cova3d_training_grid_candidates_v1_2/coronacases_001/C100_FRG.npz,5a2f5220e11925d1ff8270ecacfcba41ab39373b738d86d4c93332949a3b0e6d,fc4d8927e5a1cb43ae534f9182755fcc7e5ca2bc1e15cc5213d32151ae81b267,True,True,True,False
coronacases_001,C50_COH,data/cova3d_training_grid_candidates_v1_2/coronacases_001/C50_COH.npz,e087d088a175f7a6192625406c05bbcebcfdc017334e35f6fa6b9ee97ba76151,2123c09ba33ae6cf06ca08b1a3927730a2693c57e0a6279b0ddde9cd49ad0839,True,True,True,False
coronacases_001,C50_DIS,data/cova3d_training_grid_candidates_v1_2/coronacases_001/C50_DIS.npz,c83b60cf18020f5e7fc80e33aa6cf1596fd292ee81cf8f161a345681d72320a9,44218e53d079722e10556ab9189f77b49cfbfa1a40205ddbb1da68032b6f85c1,True,True,True,False
coronacases_001,C50_FRG,data/cova3d_training_grid_candidates_v1_2/coronacases_001/C50_FRG.npz,d033a8fffc1e897e2bf9666c00c2b9b003186e60d45956617097674b215ed2d3,f50b51dbbfd211c2a11bada1376d8db6728d05bc3b515239b75748e793cc6e2d,True,True,True,False
coronacases_002,C100_COH,data/cova3d_training_grid_candidates_v1_2/coronacases_002/C100_COH.npz,ce7b74990ea0ae4063e890f987457dda591b79a37e5c4421fd8946e44a843c89,72ac0648b531385c6de95c629358d425b81c15242796f68e40cf41f7cb41f278,True,True,True,False
coronacases_002,C100_DIS,data/cova3d_training_grid_candidates_v1_2/coronacases_002/C100_DIS.npz,6da189475894b58fd69423597d2d7c1948069d935db6f72ddf92f3e43b47908a,f561c12be69faa2092995f3e08700fa5474e238415a49cfb8d2c2937d43a6ab2,True,True,True,False
coronacases_002,C100_FRG,data/cova3d_training_grid_candidates_v1_2/coronacases_002/C100_FRG.npz,57b11ee408a5ef84b0039f9e7d1ae348b1d61995d7c7a791a3abce6a6823cdaf,12ed58c6c8bd3ce7454afab0b0f60e375b682430fdabd8aed71d83efecba5003,True,True,True,False
coronacases_002,C50_COH,data/cova3d_training_grid_candidates_v1_2/coronacases_002/C50_COH.npz,ecf884578e7a8464597ae55c74aea1ba4a7e91544e49fbd068ed0c0b18a866c7,d9d41c12db4dcf79f76bfa308b6333ea9ebbe313db95dfa32f56862b56cc913c,True,True,True,False
