case_id,condition_id,raw_direct_coords_exact,raw_direct_labels_exact,membership_coords_exact,membership_groups_exact,FG_semantic_equal,BG_semantic_equal,grouped_membership_semantic_equal,old_B2_sorted,failed_v1_3_B2_sorted,canonical_full_array_equal
coronacases_004,C50_COH,False,False,True,True,True,True,True,True,False,True
coronacases_004,C50_DIS,False,False,True,True,True,True,True,True,False,True
coronacases_004,C50_FRG,False,False,True,True,True,True,True,True,False,True
coronacases_004,C100_COH,False,False,True,True,True,True,True,True,False,True
coronacases_004,C100_DIS,False,False,True,True,True,True,True,True,False,True
coronacases_004,C100_FRG,False,False,True,True,True,True,True,True,False,True
coronacases_008,C50_COH,False,False,True,True,True,True,True,True,False,True
coronacases_008,C50_DIS,False,False,True,True,True,True,True,True,False,True
coronacases_008,C50_FRG,False,False,True,True,True,True,True,True,False,True
coronacases_008,C100_COH,False,False,True,True,True,True,True,True,False,True
coronacases_008,C100_DIS,False,False,True,True,True,True,True,True,False,True
coronacases_008,C100_FRG,False,False,True,True,True,True,True,True,False,True
radiopaedia_14_85914_0,C50_COH,False,False,True,True,True,True,True,True,False,True
radiopaedia_14_85914_0,C50_DIS,False,False,True,True,True,True,True,True,False,True
radiopaedia_14_85914_0,C50_FRG,False,False,True,True,True,True,True,True,False,True
radiopaedia_14_85914_0,C100_COH,False,False,True,True,True,True,True,True,False,True
radiopaedia_14_85914_0,C100_DIS,False,False,True,True,True,True,True,True,False,True
radiopaedia_14_85914_0,C100_FRG,False,False,True,True,True,True,True,True,False,True
radiopaedia_27_86410_0,C50_COH,False,False,True,True,True,True,True,True,False,True
radiopaedia_27_86410_0,C50_DIS,False,False,True,True,True,True,True,True,False,True
radiopaedia_27_86410_0,C50_FRG,False,False,True,True,True,True,True,True,False,True
radiopaedia_27_86410_0,C100_COH,False,False,True,True,True,True,True,True,False,True
radiopaedia_27_86410_0,C100_DIS,False,False,True,True,True,True,True,True,False,True
radiopaedia_27_86410_0,C100_FRG,False,False,True,True,True,True,True,True,False,True
