case_id,source_subject_key,split_role,outer_fold,condition,image_file,annotation_file,image_semantic_sha256,annotation_semantic_sha256,original_condition_native_semantic_sha256,parent_v1_annotation_semantic_sha256,candidate_condition,candidate_native_semantic_sha256,candidate_v1_annotation_semantic_sha256,construction_policy,equalization_target_unique_fg,preprocess_version
coronacases_001,coronacases_001,final_outer_cv,3.0,complete,images/coronacases_001.npz,annotations/coronacases_001__complete.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,a43cde95b3ea6551e8b6e6bed9bdbc641462804eb8de3f9bd4193d3858b4c50d,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,complete,a43cde95b3ea6551e8b6e6bed9bdbc641462804eb8de3f9bd4193d3858b4c50d,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,unchanged_from_v1_0,314,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,complete_fixed_25,images/coronacases_001.npz,annotations/coronacases_001__complete_fixed_25.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,b4c881b9f01cc8ecb221e928917059b6b196a3b5268fa936f9f09ac8f3c15e3a,aad227a00772a7f9d86275bd423e26d5db3b7a44ffa9f9e0840b33b911482833,23a76f04717fabfefb48e945408e43a7ed1f80c4576272729140862db3fe9a35,complete_fixed_25,aad227a00772a7f9d86275bd423e26d5db3b7a44ffa9f9e0840b33b911482833,23a76f04717fabfefb48e945408e43a7ed1f80c4576272729140862db3fe9a35,post_transfer_fixed_pair_unique_voxel_thinning,211,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,complete_fixed_50,images/coronacases_001.npz,annotations/coronacases_001__complete_fixed_50.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,d3039b2a62aa7de5d38d72b5eef6f996e1cb17ce98d27ad681271dd2ecad84a6,a43cde95b3ea6551e8b6e6bed9bdbc641462804eb8de3f9bd4193d3858b4c50d,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,complete_fixed_50,a43cde95b3ea6551e8b6e6bed9bdbc641462804eb8de3f9bd4193d3858b4c50d,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,post_transfer_fixed_pair_unique_voxel_thinning,277,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,complete_fixed_75,images/coronacases_001.npz,annotations/coronacases_001__complete_fixed_75.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,a43cde95b3ea6551e8b6e6bed9bdbc641462804eb8de3f9bd4193d3858b4c50d,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,complete_fixed_75,a43cde95b3ea6551e8b6e6bed9bdbc641462804eb8de3f9bd4193d3858b4c50d,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,fixed_pair_side_already_at_shared_training_grid_target_unchanged,314,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,component_fixed_25,images/coronacases_001.npz,annotations/coronacases_001__component_fixed_25.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,0d41c959c2ac30e7e4eee22953f73c9c51b7728d657b87e1a0e863e41416a1d8,8f65eba117e96d9963183742072429dbed8942b0ba851d04cdae934c621b2f49,0d41c959c2ac30e7e4eee22953f73c9c51b7728d657b87e1a0e863e41416a1d8,component_fixed_25,8f65eba117e96d9963183742072429dbed8942b0ba851d04cdae934c621b2f49,0d41c959c2ac30e7e4eee22953f73c9c51b7728d657b87e1a0e863e41416a1d8,fixed_pair_side_already_at_shared_training_grid_target_unchanged,211,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,component_fixed_50,images/coronacases_001.npz,annotations/coronacases_001__component_fixed_50.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,38c9e5365aabbecff1527ed26519cbf856c8a079a2bfcea67d9c911cce400465,5423e973a41a4a99355590614271049cd4eb96ec975c69f2e96bc63804b41cb3,38c9e5365aabbecff1527ed26519cbf856c8a079a2bfcea67d9c911cce400465,component_fixed_50,5423e973a41a4a99355590614271049cd4eb96ec975c69f2e96bc63804b41cb3,38c9e5365aabbecff1527ed26519cbf856c8a079a2bfcea67d9c911cce400465,fixed_pair_side_already_at_shared_training_grid_target_unchanged,277,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,component_fixed_75,images/coronacases_001.npz,annotations/coronacases_001__component_fixed_75.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,a4e64ad327828037305533768e2814b66dd01f5383ae65adf920b2f4524d4cdd,798267995b165a993e5a856fde1c6146698f04dfb344155d8b85d5cc3cd6bd27,e42cde88c08f95588a55db9883bc2137c833193d82b7eb32e18a5d70eb696dde,component_fixed_75,798267995b165a993e5a856fde1c6146698f04dfb344155d8b85d5cc3cd6bd27,e42cde88c08f95588a55db9883bc2137c833193d82b7eb32e18a5d70eb696dde,post_transfer_fixed_pair_unique_voxel_thinning,314,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,component_natural_25,images/coronacases_001.npz,annotations/coronacases_001__component_natural_25.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,befa813d04dfd2b9bbcf5b7443942276960551ad199f059af810566e51e5d7ec,e6c63c4b2913b6b0cfe971d4d3725d2d5b11bf2520045bd09d090f107a8e7901,befa813d04dfd2b9bbcf5b7443942276960551ad199f059af810566e51e5d7ec,component_natural_25,e6c63c4b2913b6b0cfe971d4d3725d2d5b11bf2520045bd09d090f107a8e7901,befa813d04dfd2b9bbcf5b7443942276960551ad199f059af810566e51e5d7ec,natural_component_omission_unchanged,84,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,component_natural_50,images/coronacases_001.npz,annotations/coronacases_001__component_natural_50.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,a65cd715cac8b6e910fb9c51a3d45d1079f69f60d62335fa2afc99504501cfff,0a45d14a9f6fe63adae2cd3ae1dcb41e9041d484986e87e12539212dca47810b,a65cd715cac8b6e910fb9c51a3d45d1079f69f60d62335fa2afc99504501cfff,component_natural_50,0a45d14a9f6fe63adae2cd3ae1dcb41e9041d484986e87e12539212dca47810b,a65cd715cac8b6e910fb9c51a3d45d1079f69f60d62335fa2afc99504501cfff,natural_component_omission_unchanged,148,1.1
coronacases_001,coronacases_001,final_outer_cv,3.0,component_natural_75,images/coronacases_001.npz,annotations/coronacases_001__component_natural_75.npz,2d0d609002ffcbf1258c7d72412dfe7e5cb1beca16014e7ff2901b8f362f4094,784727428231139327a0c98c615e845de1fb6d3f28967cd01be39285291b3e64,496c169fcf3dfc34a973877d3b5105f56378c464c8dc78e86bfb519c5265debd,784727428231139327a0c98c615e845de1fb6d3f28967cd01be39285291b3e64,component_natural_75,496c169fcf3dfc34a973877d3b5105f56378c464c8dc78e86bfb519c5265debd,784727428231139327a0c98c615e845de1fb6d3f28967cd01be39285291b3e64,natural_component_omission_unchanged,243,1.1
