relative_path,filename,role,extension,bytes
ct_scans/coronacases_org_001.nii,coronacases_org_001.nii,ct_scan,.nii,157811040
ct_scans/coronacases_org_002.nii,coronacases_org_002.nii,ct_scan,.nii,104857952
ct_scans/coronacases_org_003.nii,coronacases_org_003.nii,ct_scan,.nii,104857952
ct_scans/coronacases_org_004.nii,coronacases_org_004.nii,ct_scan,.nii,141558112
ct_scans/coronacases_org_005.nii,coronacases_org_005.nii,ct_scan,.nii,152043872
ct_scans/coronacases_org_006.nii,coronacases_org_006.nii,ct_scan,.nii,111673696
ct_scans/coronacases_org_007.nii,coronacases_org_007.nii,ct_scan,.nii,130548064
ct_scans/coronacases_org_008.nii,coronacases_org_008.nii,ct_scan,.nii,157811040
ct_scans/coronacases_org_009.nii,coronacases_org_009.nii,ct_scan,.nii,134218080
ct_scans/coronacases_org_010.nii,coronacases_org_010.nii,ct_scan,.nii,157811040
ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_1-dcm.nii,radiopaedia_org_covid-19-pneumonia-10_85902_1-dcm.nii,ct_scan,.nii,15479452
ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_3-dcm.nii,radiopaedia_org_covid-19-pneumonia-10_85902_3-dcm.nii,ct_scan,.nii,165904552
ct_scans/radiopaedia_org_covid-19-pneumonia-14_85914_0-dcm.nii,radiopaedia_org_covid-19-pneumonia-14_85914_0-dcm.nii,ct_scan,.nii,27789652
ct_scans/radiopaedia_org_covid-19-pneumonia-27_86410_0-dcm.nii,radiopaedia_org_covid-19-pneumonia-27_86410_0-dcm.nii,ct_scan,.nii,26195752
ct_scans/radiopaedia_org_covid-19-pneumonia-29_86490_1-dcm.nii,radiopaedia_org_covid-19-pneumonia-29_86490_1-dcm.nii,ct_scan,.nii,16670152
ct_scans/radiopaedia_org_covid-19-pneumonia-29_86491_1-dcm.nii,radiopaedia_org_covid-19-pneumonia-29_86491_1-dcm.nii,ct_scan,.nii,16670152
ct_scans/radiopaedia_org_covid-19-pneumonia-36_86526_0-dcm.nii,radiopaedia_org_covid-19-pneumonia-36_86526_0-dcm.nii,ct_scan,.nii,17860852
ct_scans/radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm.nii,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm.nii,ct_scan,.nii,36912052
