case_id,component_native_id,component_volume_ml,selected_in_C50,selected_in_C100,C50_resolution_class,C100_resolution_class,cross_coverage_discordant,minimum_common_raw_capacity_across_available_coverages,minimum_common_geometry_capacity_across_available_coverages,global_resolution_class,minimum_train_quota,geometry_claim_allowed,shared_anchor_required,A1_3_operational_geometry_class,A1_3_trigger,A1_3_geometry_claim_allowed
coronacases_001,1,197.84095155793204,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,2,2,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,2,33.67581041980142,False,True,,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_OPERATIONALLY_NEUTRAL_ALIAS,A1.3_exact_geometry_alias,False
coronacases_001,3,0.4677743380330604,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,4,0.144537014560777,True,True,RESOLUTION_LIMITED,RESOLUTION_LIMITED,False,3,0,GLOBAL_RESOLUTION_LIMITED,1,False,True,GLOBAL_RESOLUTION_NEUTRAL,A1.2_resolution_limit,False
coronacases_001,6,0.6254510811902718,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,7,1.8132825463079307,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,4,4,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,8,2.5760437913309406,False,True,,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_OPERATIONALLY_NEUTRAL_ALIAS,A1.3_exact_geometry_alias,False
coronacases_001,9,0.1005189237627222,False,True,,RESOLUTION_LIMITED,False,2,0,GLOBAL_RESOLUTION_LIMITED,1,False,True,GLOBAL_RESOLUTION_NEUTRAL,A1.2_resolution_limit,False
coronacases_001,10,0.4060176136298193,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,2,2,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,11,31.682513591722337,False,True,,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,12,0.3692263735598033,False,True,,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,14,0.771959055040514,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,15,0.1616186617361416,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,16,0.6576434162515358,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,4,4,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,17,0.1373101638327382,True,True,RESOLUTION_LIMITED,RESOLUTION_LIMITED,False,2,0,GLOBAL_RESOLUTION_LIMITED,1,False,True,GLOBAL_RESOLUTION_NEUTRAL,A1.2_resolution_limit,False
coronacases_001,21,0.4598905008751998,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,23,1.1470983064687128,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,24,0.1911830510781187,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,25,56.20650304410728,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_OPERATIONALLY_NEUTRAL_ALIAS,A1.3_exact_geometry_alias,False
coronacases_001,26,51.29618646761979,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,27,0.1090597473504045,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,28,2.795477258891393,True,True,GEOMETRY_RESOLVABLE,GEOMETRY_RESOLVABLE,False,3,3,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
coronacases_001,29,0.8534253723384065,False,True,,GEOMETRY_RESOLVABLE,False,2,2,GLOBAL_GEOMETRY_RESOLVABLE,2,True,False,GLOBAL_GEOMETRY_OPERATIONAL,none,True
