case_id,condition_id,artifact_file,file_sha256,semantic_sha256,trainer_eligible
coronacases_001,C100_COH,data/cova3d_native_candidates_v1_0/coronacases_001/C100_COH.npz,e6bf6896cdf47186710cb8a6a33f02620c9b6551b2dde6352005d634f982b944,1cfd99fbfb09c237ff9db3f13eae6225cebc57eaa99d8f5efb8e72f968eaf2dc,False
coronacases_001,C100_DIS,data/cova3d_native_candidates_v1_0/coronacases_001/C100_DIS.npz,3ab0ea48abf40c9ecc73f3829a2db5cbb0e381198692046910c5f066cfb87edf,0d81ec79ce6d2ae9dd5164f7b04c0be3d0a273b8698503dc4d4981035d6be296,False
coronacases_001,C100_FRG,data/cova3d_native_candidates_v1_0/coronacases_001/C100_FRG.npz,d54252297340a199895784e5e3bfdcfe541a9a5f0ecc98a9e5f443116f0976b4,01e79a0152407f77acc329b5c3237da29a5ef8ae66ef8b94d00af72def16c19d,False
coronacases_001,C50_COH,data/cova3d_native_candidates_v1_0/coronacases_001/C50_COH.npz,2b1781988cd0ef4f8485082dd5e96b8e6d7702db480f57cfeadbce16e3787f19,a064f679d686be6ab0b7da80f2efd04a8343e93c43897cb078361482f471c061,False
coronacases_001,C50_DIS,data/cova3d_native_candidates_v1_0/coronacases_001/C50_DIS.npz,23ba1409b905297f0a2212366cb8ab269bc111d4e5394d51a778c484815f8323,12a92b7050878e4c8d0958f9becb139f2529e38b55c408490cbf920fd9c67531,False
coronacases_001,C50_FRG,data/cova3d_native_candidates_v1_0/coronacases_001/C50_FRG.npz,19dab0585a06e77c7ea8fb9ef5b95fd75cd682d226a939ebbd4b268c7dc85204,f12a3072550ef3361ca0ef9d28876561832079d328962049cc374d3baf5979ee,False
coronacases_002,C100_COH,data/cova3d_native_candidates_v1_0/coronacases_002/C100_COH.npz,73c7851242e1448e9bbbb74f69e439a7b75bcdbb3eccb47bf6a1114167110744,d805492e2af73a3a49f829284b249201d00b5f74886ee2c613ecaa8f8a0be818,False
coronacases_002,C100_DIS,data/cova3d_native_candidates_v1_0/coronacases_002/C100_DIS.npz,6cb96109904097061abd05fddf86e05a4b95a908e9321a4bd5391616c6e14a99,37dbbc9db69eedc679c98b40cc541b605824f47febfcd01fef11f24731f8bfb8,False
coronacases_002,C100_FRG,data/cova3d_native_candidates_v1_0/coronacases_002/C100_FRG.npz,e421c88de201098d33694344e12f98f71ec9de97a76b9c81093f07a0604e3395,db83df0d769c39ac34ead209f286f2f33a8d71d2c239954fc6c8e255eefb0baa,False
coronacases_002,C50_COH,data/cova3d_native_candidates_v1_0/coronacases_002/C50_COH.npz,d5772d7c292f3be9d721576e5ae1f04f00ffc097a0f948c6aac6957c00f9c343,989ddc97769ad400a530384a1cc8be6c0dc1561ab85bb0ab379975f5e7bc214b,False
coronacases_002,C50_DIS,data/cova3d_native_candidates_v1_0/coronacases_002/C50_DIS.npz,eb36b07da2cdaeec016a717bac145f03cc1479d46ee678c7110e1abe48b3487a,10e16c4717cce346dc122495fb5328d09dddf07db32d1d6a86b52c8f5b2ce289,False
coronacases_002,C50_FRG,data/cova3d_native_candidates_v1_0/coronacases_002/C50_FRG.npz,0d00bd00d4c675dccde42f28e7d2bc5568f23b92c8214da268db0411de357164,d37b3b954dc3eec29dd0ef8a9a24391fc3ccd251e7e6b8b49b5600087bdd810f,False
coronacases_003,C100_COH,data/cova3d_native_candidates_v1_0/coronacases_003/C100_COH.npz,d05a61b4814d62be3de6b2834251ae67df440bacb46893614b823cde9099b94e,9d505169874b26bc947327bf6cf8049071d8ebf30e9a42012347b00e27416329,False
coronacases_003,C100_DIS,data/cova3d_native_candidates_v1_0/coronacases_003/C100_DIS.npz,32fd7437cc98ba669c7c5c379ed21a6932fcc443d3baaf1105db7cec1118cb30,b691c6e7c95267fe751342203e22864b4c5bdd3296a2fd0c16df4f97cb3d2ceb,False
coronacases_003,C100_FRG,data/cova3d_native_candidates_v1_0/coronacases_003/C100_FRG.npz,5cd8034919e6aa43a06a64f05e5fd60b63b7cdcf844350da073d41b958502953,220632f2b8abb822c594df56170a23f0218d637cf0aaab886c801c2fa2b80105,False
coronacases_003,C50_COH,data/cova3d_native_candidates_v1_0/coronacases_003/C50_COH.npz,c07638b9ed5a879365aa2dbd12a17bfcc962170d3a020edf9f249c283c9918b7,79789b7ab240a40ac6705c03007c458104e24de5d4314654e88370856ff50015,False
coronacases_003,C50_DIS,data/cova3d_native_candidates_v1_0/coronacases_003/C50_DIS.npz,ce5c305576c59ef4774b7f352a4b2b74411c31d645d5cd46aa8c170d1487239c,139cd68f44493dff12f18da96a94844fd06022292ea308d43a43925dfa4c0d00,False
coronacases_003,C50_FRG,data/cova3d_native_candidates_v1_0/coronacases_003/C50_FRG.npz,ae2733f6f21d0c0ca7ca06bcff1358f53b0e373982a40d0bce3ec150ba8fe27f,2b05d82293a8f4a06209aecf000ecc685c04bbabdb792b4aec1fdef382489916,False
coronacases_004,C100_COH,data/cova3d_native_candidates_v1_0/coronacases_004/C100_COH.npz,980ed7a0df19e10fde57a05138f6b7e08029c64b16b58e5b3c08aa95f8d98449,8351af0dfcc6a6a939d3cdc0cec6ddbc38a05c477fa2b6e1b6b792645bdc3745,False
coronacases_004,C100_DIS,data/cova3d_native_candidates_v1_0/coronacases_004/C100_DIS.npz,29e56494119aac01fc6caf6b520452c7e6c3ed26fb8dc7de0b315ef7bf1fa465,43367232807457f1e6009ed41b383459312bf4becfcc4797d36f10fe2cdbef34,False
coronacases_004,C100_FRG,data/cova3d_native_candidates_v1_0/coronacases_004/C100_FRG.npz,2837908aac899e5e2f3d4bc50fed0583abd8f0ae2c944753862c0b4c1e286ca2,81d5726a69fa0c905d14fbc9edf508bdc8495b4434227acdbef385bcafb99255,False
coronacases_004,C50_COH,data/cova3d_native_candidates_v1_0/coronacases_004/C50_COH.npz,83ec185a2aae33945373822772bc2eb4dc26be5d1bf78152cd123389f4d84bf8,0dda60c5be5df330457f3e3489c2a08add4d266e4d695569b2ae9643d3da6d9f,False
coronacases_004,C50_DIS,data/cova3d_native_candidates_v1_0/coronacases_004/C50_DIS.npz,4c4a6aa6e8eb2683814587702df9e7d5919a6706179fafefa6ae0cf178f9eda3,1d41cc55155dca0bec187703bbc0391f0319a450dce4eef2025f7304c3c174e3,False
