case_id,role,condition_id,coverage_fraction,geometry,component_native_id,component_volume_ml,pool_source,pool_size,quota,selected_point_components,mean_nearest_neighbor_mm
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,1,197.84095155793204,largest_1mm_eroded_component,214588,5,1,0.9155855069558785
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,2,33.67581041980142,largest_1mm_eroded_component,31913,5,1,0.8776949057977363
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,3,0.4677743380330604,largest_1mm_eroded_component,249,5,1,0.9058855652426446
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,4,0.14453701456077708,largest_1mm_eroded_component,52,5,1,0.9058855652426446
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,6,0.6254510811902718,largest_1mm_eroded_component,437,5,1,0.8105469942092896
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,7,1.8132825463079307,largest_1mm_eroded_component,1433,5,1,0.9242187976837158
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,8,2.5760437913309406,largest_1mm_eroded_component,1209,4,1,0.8579102456569672
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,9,0.10051892376272226,largest_1mm_eroded_component,29,5,1,0.8105469942092896
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,10,0.4060176136298193,largest_1mm_eroded_component,219,5,1,0.8484375953674317
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,11,31.682513591722337,largest_1mm_eroded_component,33975,4,1,0.8105469942092896
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,12,0.3692263735598033,largest_1mm_eroded_component,202,5,1,1.0198204727072482
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,14,0.771959055040514,largest_1mm_eroded_component,533,5,1,1.0012241362759997
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,15,0.16161866173614164,largest_1mm_eroded_component,30,5,1,1.0119907289746302
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,16,0.6576434162515358,largest_1mm_eroded_component,382,5,1,0.8863281965255737
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,17,0.13731016383273822,largest_1mm_eroded_component,67,5,1,0.9155855069558785
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,21,0.45989050087519984,largest_1mm_eroded_component,287,5,1,0.9437761664007868
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,23,1.1470983064687128,largest_1mm_eroded_component,917,5,1,1.0012241362759997
